status,gno_address,ugnot_total,ugnot_base,ugnot_tiered_bonus,ugnot_first24h_bonus,accepted_usd,lockup_12m,first_24h_eligible,bound_at,signer
GENESIS,g10gjvutg825d5yqp32ej3qc25hddhtthzspwaap,3031007752,2635658915,395348837,0,170,no,no,2026-09-09T05:03:10.969Z,adena
GENESIS,g10x3w7fngeecx3jaq45gslypwnkalx0d9kl756g,2063565891,1875968992,187596899,0,121,no,no,2026-09-09T05:55:24.256Z,gnokey
GENESIS,g1279zrl88kuzjz5u8huzmulky9e3akqwaz0dt8e,3255813954,2713178295,406976744,135658915,175,no,yes,2026-09-04T09:11:30.583Z,adena
GENESIS,g12sqtlpu4ga0an2wny80v975y8dgajelrvyp2pe,14550387598,12248062016,1689922481,612403101,790,no,yes,2026-09-04T02:40:49.076Z,adena
GENESIS,g12uucufc8g0vhqx92u6sjuyslx2vz97k0mhq6jd,18604651162,15503875969,2325581395,775193798,1000,no,yes,2026-09-08T07:40:32.565Z,adena
GENESIS,g13enw4ph4jwh2mqv07pxcsesyam5605cydps77n,1784583586046,1551811813953,232771772093,0,100091.862,no,no,2026-09-03T14:36:16.920Z,adena
GENESIS,g13hsacd5wjejd9r4p7gp49psyl5w3jqw0x35cxj,12316279070,10263565891,1539534884,513178295,662,no,yes,2026-09-04T15:34:47.115Z,adena
GENESIS,g13wq3f03zty8xahfa0axwj4kpc9mrkv8ldcrcwd,35720930232,29767441860,4465116279,1488372093,1920,no,yes,2026-09-04T15:12:30.213Z,adena
GENESIS,g140knwp8w2kxj4f6skeuk60edwmphwwwxcs6eyx,12334883720,10279069767,1541860465,513953488,663,no,yes,2026-09-04T05:21:08.087Z,adena
GENESIS,g14hra7c6mxz587qj7cygvk3jkm7l8h8knzh5dcq,1705426357,1550387597,155038760,0,100,no,no,2026-09-04T08:48:49.325Z,adena
GENESIS,g14rzzradg2dne6v2k80265l6qglql9edf6tpnmm,1782945737,1550387597,232558140,0,100,no,no,2026-09-05T14:52:29.945Z,adena
GENESIS,g15a0600yc9pf2cjtx80g3lzhm99yl55zyuvwkjj,341085271318,310077519380,31007751938,0,20000,no,no,2026-09-04T08:04:44.438Z,adena
GENESIS,g16negggxcs5ad93z6f2tvpfnyz6nnydsktslp08,186046511627,155038759690,23255813953,7751937984,10000,no,yes,2026-09-04T14:59:02.194Z,adena
GENESIS,g16wg82skmtjvey8fr9ega27cvhux2wtmh7nnae9,1722480620,1565891473,156589147,0,101,no,no,2026-09-04T08:38:47.071Z,adena
GENESIS,g16wk2gntl7vma7qdt9zjt85xewfcer4rg3wpwd2,12706976744,10589147287,1588372093,529457364,683,no,yes,2026-09-04T02:09:42.132Z,adena
GENESIS,g173q2lr9gft7p6q2rs8nue7j7frfqdr4t32h5zj,1705426357,1550387597,155038760,0,100,no,no,2026-09-04T14:55:59.919Z,adena
GENESIS,g1747t5m2f08plqjlrjk2q0qld7465hxz8gkx59c,21897674419,18248062016,2737209302,912403101,1177,no,yes,2026-09-09T10:14:09.544Z,adena
GENESIS,g174ts84rks5x97pk2kxnfjmmaenmj6azjua9kg7,10829457364,9844961240,984496124,0,635,no,no,2026-09-10T07:34:16.295Z,adena
GENESIS,g178gkc44jq4zyjgy2ssttn5jpzxjreltzxqg6k9,239641860466,201643410853,27916279070,10082170543,13006,no,yes,2026-09-04T01:54:36.299Z,adena
GENESIS,g18c0grhdx96lw2u5t9qchl390n5weu9znkwf5vm,1841860465,1674418605,167441860,0,108,yes,no,2026-09-08T00:02:41.611Z,adena
GENESIS,g18kes28qn3nz9kmlluqvpvc85999d98cenyly47,36899224807,31627906977,3689922481,1581395349,2040,no,yes,2026-09-05T07:47:46.509Z,adena
GENESIS,g18u7yz0gm3y0gaqnwgw788e2e7qc4k2stz4tgq9,18604651162,15503875969,2325581395,775193798,1000,no,yes,2026-09-04T12:07:44.612Z,gnokey
GENESIS,g19vtc43w5tzf3k87uvy78rtvatxc8x29xven3hs,3720930233,3100775194,465116279,155038760,200,no,yes,2026-09-04T06:50:37.995Z,adena
GENESIS,g1aq4j6gz0tcj039nn74pdfefgksnqlld0znr4kd,1782945737,1550387597,232558140,0,100,no,no,2026-09-04T06:37:51.005Z,adena
GENESIS,g1at2h7kdhz2m9lv6azn54mwu4wl95k94wu90uwj,5525581395,4604651163,690697674,230232558,297,no,yes,2026-09-10T20:33:11.837Z,adena
GENESIS,g1aycf3z9pes3dd64pg2rzpmlfpj38tu3f370z5m,46609302325,42372093023,4237209302,0,2733,no,no,2026-09-04T04:56:39.267Z,adena
GENESIS,g1ayy8knfdhepp2rws2m8kq5jzjm67fsyl363kch,42232558139,35193798450,5279069767,1759689922,2270,no,yes,2026-09-07T22:04:18.746Z,adena
GENESIS,g1c3th4jzxrmpdn23xv4taewf064jvpsrpl205ru,140077519380,124031007752,16046511628,0,8000,no,no,2026-09-04T02:49:07.301Z,adena
